,Life Expectancy,GDP Per Capita
South Africa,49.41,11000
Afghanistan,49.72,1000
Somalia,50.8,600
Haiti,62.51,1200
Pakistan,66.35,2800
Russia,66.46,16700
India,67.14,3700
Brazil,72.79,11600
China,74.84,8400
Mexico,76.66,15100
United Arab Emirates,76.71,48500
Chile,78.1,16100
United States,78.49,48100
"Korea, South",79.3,31700
United Kingdom,80.17,35900
Germany,80.19,37900
Iceland,81,38000
Sweden,81.18,40600
Canada,81.48,40300
Italy,81.86,30100
Australia,81.9,40800
Japan,83.91,34300
